,rank,RDM,RDM_avg,lower_bound,upper_bound,range,diff_m1_mc_median
177315,33.0,0.6582244038581848,0.7103063265482584,0.6886344259399717,0.7316863790417819,0.0430519531018102,0.05147167082318971
347620,9.0,0.7401506304740906,0.6806663672129313,0.6211378243100972,0.7405550733466287,0.1194172490365315,0.05713199263476054
544614,1.0,0.824880063533783,0.6761075655619303,0.6029156346369379,0.7489465946068798,0.14603095996994198,0.14742160730711218
498670,37.0,0.6420063376426697,0.6721962292989095,0.6591052997123633,0.6858472420516243,0.02674194233926097,0.03093637910708824
552580,32.0,0.6622676849365234,0.6578417221705118,0.6431663395906776,0.6736967305340801,0.030530390943402486,0.004215445646814864
497845,7.0,0.7681810855865479,0.6524160305658976,0.6018566930583157,0.7055692078151683,0.10371251475685261,0.11364504406500386
584048,3.0,0.7854705452919006,0.651848554611206,0.5908970246273018,0.7136208649041947,0.12272384027689298,0.13340688844302473
527926,18.0,0.71040940284729,0.6477356354395548,0.5868439898905428,0.7089415949956664,0.12209760510512369,0.06006316329406103
574353,17.0,0.7164024114608765,0.6465848286946615,0.5882402058558517,0.7051235547090537,0.11688334885320206,0.06761829976546174
371229,42.0,0.6278852224349976,0.6444950501124064,0.6206619421739407,0.6684281144894897,0.04776617231554903,0.01560430538517843
630037,14.0,0.7234254479408264,0.6436108748118082,0.6048784134422754,0.6831164763371298,0.07823806289485435,0.0798544313595877
609449,8.0,0.7616602182388306,0.6430561939875284,0.5888485643424313,0.697458577673308,0.10861001333087672,0.11704836997687851
656348,5.0,0.7793559432029724,0.64280104637146,0.5607654551920207,0.725314617929647,0.16454916273762632,0.13390635359264946
548971,6.0,0.778849720954895,0.6384536027908325,0.5785716341003243,0.6990346045783253,0.12046297047800103,0.13959218327561618
290231,13.0,0.725258469581604,0.6360374291737875,0.5873379725468386,0.68267819126143,0.09534021871459142,0.09190956976858733
546043,2.0,0.792073130607605,0.6305210987726847,0.5536077519682441,0.7071233648596768,0.15351561289143267,0.1597461360573995
227259,48.0,0.6028204560279846,0.628745953241984,0.6069453241514771,0.649790101724624,0.042844777573146975,0.02525510730689251
592455,29.0,0.6634217500686646,0.6222654978434244,0.5724176784025484,0.6714650729095446,0.09904739450699618,0.04248387396485653
577311,30.0,0.6630825400352478,0.6195193926493326,0.5618375120475984,0.6769098521842561,0.11507234013665779,0.040914072299734094
519347,10.0,0.7359415888786316,0.6190112431844076,0.5505440313629103,0.6880527969478741,0.13750876558496383,0.11498068034707687
305108,56.0,0.5735910534858704,0.6163325309753418,0.5812803837635596,0.6512775432823892,0.06999715951882957,0.041281794388009496
385409,23.0,0.6952048540115356,0.60982346534729,0.5580882384480463,0.6636826208481019,0.10559438240005559,0.08312096077843822
437738,24.0,0.6851420402526855,0.6044978698094686,0.5214477009536467,0.6882415494829103,0.1667938485292636,0.07740920612549962
162934,11.0,0.7259920239448547,0.6015768051147461,0.5365025801254453,0.6666061118949833,0.13010353176953804,0.1276644124350167
636600,103.0,0.5124785900115967,0.6015332539876302,0.5579760687385317,0.6430694122156015,0.08509334347706987,0.08721982905331815
186666,28.0,0.6691545248031616,0.5994730790456136,0.5587635316096506,0.6383309389937063,0.07956740738405566,0.07206531277286354
45756,35.0,0.6490581631660461,0.5992624759674072,0.5264951405784024,0.6704602885050645,0.14396514792666204,0.05480985321376741
352819,27.0,0.6698501110076904,0.5953849156697592,0.561883634719209,0.628796780623533,0.06691314590432396,0.07625634087234223
577210,58.0,0.5715352892875671,0.5939161777496338,0.5429228705028772,0.6417770202621815,0.09885414975930429,0.021468726835135676
67864,4.0,0.7854119539260864,0.5920112133026123,0.5040268092561292,0.6801395669275758,0.17611275767144663,0.19798445285729582
298829,44.0,0.617912769317627,0.5911527474721273,0.530646686558864,0.6506436362373575,0.1199969496784935,0.03091763250715185
159361,26.0,0.6708322763442993,0.5902028878529867,0.5310707073603538,0.646704777438154,0.11563407007780024,0.08345729355526377
587834,61.0,0.5686262845993042,0.587767759958903,0.5234102661750267,0.6523320180982519,0.1289217519232252,0.0239009052342799
326504,45.0,0.6145042777061462,0.5805457433064779,0.5653787692605142,0.5956641503494955,0.030285381088981267,0.03473956366608355
642229,135.0,0.4607482850551605,0.5782729784647623,0.5308059720277379,0.6239565781228549,0.09315060609511694,0.11613774643627106
521673,41.0,0.6280730962753296,0.5781528155008951,0.5323144728304015,0.6234028912182108,0.09108841838780934,0.051458076373525286
178739,54.0,0.5760215520858765,0.5762399832407633,0.5717111975711896,0.5805158401437815,0.008804642572591947,0.00014480638153824277
66368,15.0,0.7199764251708984,0.5750349362691244,0.50679551954986,0.6434743912707008,0.1366788717208408,0.1481990944100975
195216,22.0,0.6969739198684692,0.5741572777430216,0.5147633114426918,0.6336985060325311,0.11893519458983925,0.1254971469829469
64015,12.0,0.7253049612045288,0.5733081897099813,0.5062375083850458,0.6397005288501975,0.13346302046515168,0.1555000140950813
5436,31.0,0.6624923348426819,0.5718003114064535,0.5134734416795208,0.6272712020406604,0.11379776036113964,0.09373147855740926
442778,81.0,0.5374287366867065,0.5717894236246744,0.5063608024126922,0.6396390564809358,0.13327825406824356,0.03786143511508677
23420,20.0,0.7059111595153809,0.5702604452768961,0.504911572431309,0.632530310507102,0.12761873807579294,0.13894996831555673
634481,112.0,0.4965710043907165,0.5692145029703776,0.5241899394795262,0.6121978771501689,0.08800793767064274,0.07102165347416195
19758,19.0,0.7076072692871094,0.5688456296920776,0.5049938030287405,0.6301289943171252,0.12513519128838468,0.1422946240876899
154967,63.0,0.5593002438545227,0.5683689117431641,0.4943305208105296,0.6428575786978168,0.1485270578872872,0.004366694045747743
378934,120.0,0.4836501479148865,0.5668856302897135,0.5167645094493609,0.6151569686701115,0.09839245922075057,0.08155728856874389
554464,101.0,0.5134781002998352,0.5665695269902548,0.51815116885003,0.6132629174531263,0.09511174860309635,0.051445839717413566
342852,16.0,0.7169857025146484,0.5650554498036703,0.5047270491344669,0.6289967082946514,0.12426965916018451,0.15025599320471406
325938,34.0,0.6547515392303467,0.5642377932866415,0.5163261783796498,0.61013173881536,0.0938055604357102,0.09307599936491573
344444,123.0,0.4808858335018158,0.5629669030507406,0.5195083701394817,0.6083672348550149,0.08885886471553317,0.08455148488063813
653165,136.0,0.4593667387962341,0.5621623595555624,0.5194745492613748,0.6034243263470337,0.08394977708565887,0.10154397208830362
566105,94.0,0.5192483067512512,0.5619232654571533,0.49984213850498815,0.6253026860572773,0.1254605475522892,0.04698861827029632
514803,97.0,0.5161815881729126,0.5558062394460043,0.5238025554565843,0.5857393098643346,0.06193675440775037,0.038281824122432306
473615,68.0,0.5513390302658081,0.5549298922220866,0.523742022909534,0.584127548428909,0.06038552551937504,0.0031366870317891538
113350,21.0,0.7055298686027527,0.5535922050476074,0.4772096990782475,0.6262661188298582,0.14905641975161066,0.15593434497633774
8181,49.0,0.5847048759460449,0.5527165730794271,0.5023381395819903,0.6012914009412612,0.09895326135927096,0.034462979440397
447290,100.0,0.5141816735267639,0.5513400236765543,0.509096384525029,0.5907574448442564,0.08166106031922737,0.03536060915553674
131273,131.0,0.4662121534347534,0.5505015850067139,0.4977704230777244,0.6009510109893001,0.10318058791157575,0.0824524694636074
303406,39.0,0.633095920085907,0.5500474770863851,0.5161104592946811,0.5858645900217201,0.06975413072703895,0.08186208399346917
400219,133.0,0.4615879356861114,0.5497010946273804,0.510932511396554,0.5864212592756082,0.07548874787905413,0.08670874308575433
176447,69.0,0.5503974556922913,0.5467657248179117,0.518461406053767,0.5752786889832324,0.05681728292946542,0.005730119665476097
559269,178.0,0.4257852137088775,0.5458095073699951,0.49113035319265547,0.5983522881404121,0.10722193494775661,0.11828866525547505
22373,25.0,0.6711091995239258,0.5456673304239908,0.486024681539571,0.6022540578585518,0.11622937631898078,0.12851114002054376
510358,179.0,0.4252176880836487,0.5450418790181478,0.48993450795766513,0.5974435335469547,0.10750902558928954,0.1176528015642836
