,rank,RDM,RDM_avg,lower_bound,upper_bound,range,diff_m1_mc_median
315082,4.0,0.7552855014801025,0.7756831645965576,0.7624243114623679,0.7887745991838272,0.02635028772145931,0.020623834359406734
306388,5.0,0.7530789375305176,0.7559325695037842,0.7522244902667282,0.7595402380113214,0.007315747744593204,0.0029518782171522595
235089,11.0,0.7219886183738708,0.7419344584147135,0.7300929594575082,0.7541472861428767,0.024054326685368554,0.020124476121415324
216879,1.0,0.7763330936431885,0.7405014038085938,0.7198045542913527,0.7621068485254747,0.04230229423412202,0.03554631193803037
310992,2.0,0.7718820571899414,0.739409605662028,0.7187735159924639,0.7610377026724435,0.042264186679979665,0.032005197152408904
218332,28.0,0.6791465282440186,0.7253007094065348,0.7062801847471327,0.7451286431049913,0.03884845835785855,0.046366244509219556
217088,19.0,0.7098982930183411,0.709758996963501,0.7042217963738411,0.7157132990847732,0.011491502710932133,2.494264061980722e-05
354887,6.0,0.7401808500289917,0.7092863718668619,0.6785089608933492,0.7405241753768151,0.06201521448346592,0.03143045190496796
225312,52.0,0.6430541276931763,0.706037680308024,0.6784212557727408,0.7344903190373291,0.05606906326458827,0.0634527013707461
233815,13.0,0.7158344388008118,0.7015211582183838,0.6730026331644536,0.7303408054027996,0.05733817223834592,0.014785538359225359
211418,18.0,0.7105279564857483,0.6973853905995687,0.6817709389877711,0.7133810832430404,0.03161014425526931,0.013438834580380199
245945,33.0,0.6694440841674805,0.6925222873687744,0.6626842975442072,0.7232304814158863,0.06054618387167909,0.023009307954835023
274316,29.0,0.675760805606842,0.6847866376241049,0.6759852918743331,0.6934269740476595,0.017441682173326423,0.00878306829795561
248552,63.0,0.6275127530097961,0.6765065987904867,0.653217855528984,0.700639530686209,0.04742167515722495,0.04913594042345171
183879,44.0,0.6499138474464417,0.6741946538289388,0.6535844276379515,0.6936112419168105,0.0400268142788589,0.023783414493412147
217380,37.0,0.6629726886749268,0.674174944559733,0.6628921808676161,0.6858570315958544,0.022964850728238284,0.01119534360611496
215707,56.0,0.63700270652771,0.6682009696960449,0.653048517917248,0.6838690600244829,0.03082054210723484,0.031201983007265177
189082,3.0,0.7600325345993042,0.6641753911972046,0.6243900680969031,0.7032062208215526,0.07881615272464948,0.09612911704521854
278862,32.0,0.6696646213531494,0.6626784801483154,0.6490934711193403,0.6765031123646571,0.02740964124531675,0.007171197196959023
83102,17.0,0.7105664610862732,0.6609594027201334,0.6349625137936564,0.686745614076343,0.05178310028268662,0.05009045078141816
298053,73.0,0.6154949069023132,0.6588944594065348,0.6421843552557135,0.6762939685334193,0.034109613277705786,0.043743435388132745
312073,65.0,0.6236537098884583,0.6574011246363322,0.6357491186247937,0.6798599617464955,0.04411084312170188,0.03403745264603941
252287,27.0,0.682293713092804,0.655097762743632,0.6354791412153319,0.6749232403068319,0.03944409909150004,0.02789244266496016
321869,7.0,0.7376981377601624,0.654592752456665,0.5922881402304188,0.7204273932992781,0.12813925306885932,0.08154984926168951
319031,38.0,0.6629315614700317,0.6541326840718588,0.6150661251518009,0.6927904902950583,0.07772436514325742,0.008062585485265394
164914,58.0,0.6356426477432251,0.6537976662317911,0.6199929536250461,0.6888625144719852,0.06886956084693907,0.017912396451488233
81334,20.0,0.7027986645698547,0.6534539858500162,0.6197480861573484,0.6860599596426549,0.06631187348530643,0.04978654232296709
119175,80.0,0.6079937815666199,0.652057965596517,0.6344900403136815,0.6702251616021724,0.03573512128849088,0.044435906398996194
111654,10.0,0.7252712845802307,0.6507677237192789,0.6158562013812782,0.6850179463648793,0.06916174498360117,0.0750018298665116
258128,53.0,0.6411550641059875,0.649640162785848,0.6172766991402868,0.6840533910403905,0.06677669190010371,0.00900331092251161
156189,22.0,0.6942880749702454,0.6493048667907715,0.614116425032645,0.6828818045697805,0.06876537953713557,0.04513795279032551
123047,70.0,0.6190503835678101,0.6487862269083658,0.6260647759568128,0.6711317120332166,0.045066936076403885,0.030486655925848538
307447,40.0,0.658981204032898,0.6471923589706421,0.6201684344031545,0.6724931647272193,0.052324730324064817,0.012542366088615697
185875,79.0,0.6081409454345703,0.6471695105234782,0.623917837665515,0.6702284168309938,0.04631057916547876,0.039643466462443655
321812,46.0,0.6475493907928467,0.6468936999638876,0.6250509624333201,0.6686232004444119,0.04357223801109178,0.00036266549849184315
312313,16.0,0.7122840285301208,0.6466553211212158,0.6193953811665174,0.6735378503192693,0.05414246915275189,0.0658235441418028
282291,62.0,0.6311318874359131,0.6466530958811442,0.5986007101401436,0.6939969990322531,0.0953962888921095,0.016395145261017263
200440,75.0,0.6151155829429626,0.6453754107157389,0.6175233779389387,0.6741258444931278,0.0566024665541891,0.03033700912331394
88906,15.0,0.7126513719558716,0.6423542499542236,0.6100482528592814,0.6742180290210503,0.06416977616176889,0.0705118571661405
231350,51.0,0.6447935104370117,0.6404613256454468,0.6321379541553606,0.6488642192492381,0.016726265093877535,0.004464655415034047
122696,68.0,0.62224942445755,0.6401809453964233,0.6177147229100738,0.6620338897793238,0.04431916686924997,0.01850733007692651
296118,59.0,0.6349162459373474,0.6384000778198242,0.6308651354659368,0.64583290341532,0.014967767949383148,0.003591167211961288
234306,60.0,0.6345494389533997,0.6383446057637533,0.631436652223594,0.6455112514632146,0.014074599239620622,0.0037450057743163567
38409,48.0,0.6467455625534058,0.6377541621526083,0.6274386029683567,0.6475808038491846,0.020142200880827854,0.009167634875694386
195846,113.0,0.5584303736686707,0.6372327009836832,0.6031914998972939,0.6722503298405482,0.0690588299432543,0.07919268728964168
70238,14.0,0.7134513854980469,0.636780579884847,0.6035573237121279,0.6692982846121697,0.06574096090004178,0.07716421278431662
158248,8.0,0.7289081811904907,0.6340850591659546,0.5828243664378973,0.6846637287384324,0.10183936230053514,0.0958612091226958
140798,39.0,0.6591261625289917,0.630935549736023,0.5974332252869377,0.6628274811168603,0.06539425582992264,0.028857167203713674
